store_id,sku_id,category,wape,n_days
store_0002,sku_00118,Garden,0.09255786421761414,14
store_0002,sku_00144,Garden,0.07924649102066483,14
store_0004,sku_00008,Seasonal,0.07012403054077491,14
store_0004,sku_00118,Garden,0.06780247406495325,13
store_0005,sku_00175,Office,0.06686488313587266,14
store_0002,sku_00083,Produce,0.05512580703431602,14
store_0003,sku_00127,Home,0.0534123798197689,14
store_0002,sku_00168,Pet,0.0519019928016645,14
store_0002,sku_00185,Garden,0.04444738666312053,14
store_0004,sku_00144,Garden,0.043964528642151536,14
store_0001,sku_00131,Toys,0.043751644865025065,14
store_0003,sku_00164,Health,0.04345067725086288,14
store_0001,sku_00115,Dairy,0.04256637089769798,14
store_0002,sku_00150,Pet,0.04068658705372859,14
store_0002,sku_00160,Bakery,0.038283586825094,14
store_0005,sku_00141,Pet,0.036338068409985415,14
store_0003,sku_00010,Dairy,0.03583319407112942,14
store_0004,sku_00094,Electronics,0.03558555245887223,14
store_0001,sku_00141,Pet,0.03530006855138196,14
store_0004,sku_00185,Garden,0.03520998404413879,14
